step,portfolio_value,prev_prices,curr_prices,returns,action,expert_action,sub_expert_action,real_action,reward
21,1.0767829593562517,"[108.3698592044382, 100.58220007396645, 107.65887865095371, 103.7430470925848, 107.51598259880194]","[106.60641098222527, 102.39858194902654, 107.52217887813279, 102.54757255177418, 108.03874510206558]","[-0.016272497123819358, 0.018058681095903167, -0.0012697491793883507, -0.01152341842961031, 0.004862184120237586]","[0.0, 0.0, 1.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2148022818332003, 0.1873795656522643, 0.1934418873835555, 0.20082956194121415, 0.20354670318976587]","[0.0, 0.0, 1.0, 0.0, 0.0]",-0.002464064994400719
22,1.0581349533052917,"[106.60641098222527, 102.39858194902654, 107.52217887813279, 102.54757255177418, 108.03874510206558]","[107.42102154812854, 103.0410686644514, 109.25494580715169, 100.77162714249691, 108.90040423798453]","[0.007641290597796107, 0.006274371218780083, 0.01611543727162409, -0.017318258883023598, 0.00797546412729003]","[0.0, 0.0, 0.0, 1.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20044706764010722, 0.21434385294794897, 0.18714762056281384, 0.20298754538958802, 0.19507391345954211]","[0.0, 0.0, 0.0, 1.0, 0.0]",-0.018763461490928578
23,1.0603539395736354,"[107.42102154812854, 103.0410686644514, 109.25494580715169, 100.77162714249691, 108.90040423798453]","[109.15980035608251, 101.407883304541, 107.93070494171725, 100.74309988311514, 110.25877946213615]","[0.016186578594162233, -0.0158498488134745, -0.012120649144541976, -0.0002830882083648004, 0.012473555389042467]","[0.2657119929790497, 0.27339494228363037, 0.1037168875336647, 0.08378124237060547, 0.27339494228363037]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.19745514986949078, 0.2012598014802954, 0.2047320804341944, 0.19532003432009104, 0.20123293389592825]","[0.2657119929790497, 0.27339494228363037, 0.1037168875336647, 0.08378124237060547, 0.27339494228363037]",0.0015730826522862328
24,1.0634851638433938,"[109.15980035608251, 101.407883304541, 107.93070494171725, 100.74309988311514, 110.25877946213615]","[108.63234698271162, 102.90127950530417, 110.78315577889538, 101.63249635737381, 108.2730859142017]","[-0.004831937871362175, 0.014726628266939662, 0.026428538928921597, 0.008828361200822452, -0.01800939170214877]","[0.2991153597831726, 0.0, 0.2991153597831726, 0.13893650472164154, 0.26283273100852966]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.18845336571996377, 0.20203172306942135, 0.2010231901771816, 0.19481359575024745, 0.21367812528318583]","[0.2991153597831726, 0.0, 0.2991153597831726, 0.13893650472164154, 0.26283273100852966]",0.0022134349845248777
25,1.0585225133943141,"[108.63234698271162, 102.90127950530417, 110.78315577889538, 101.63249635737381, 108.2730859142017]","[107.61425353616454, 102.75201716003556, 110.23479507784822, 102.04903269750972, 108.8993068884771]","[-0.00937191798598542, -0.0014505392545766786, -0.004949856295316184, 0.004098456252331193, 0.005783717800115453]","[0.3180129826068878, 0.3064606785774231, 0.3180129826068878, 0.0, 0.05751331150531769]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1998085304654004, 0.19303997138650145, 0.19198364104756846, 0.21735317444781213, 0.1978146826527176]","[0.3180130124092102, 0.3064607083797455, 0.3180130124092102, 0.0, 0.057513315230607986]",-0.005205712017794274
26,1.0552330237004144,"[107.61425353616454, 102.75201716003556, 110.23479507784822, 102.04903269750972, 108.8993068884771]","[106.8694769922393, 103.3492638642768, 110.12279854766005, 103.10446632994409, 109.36235229969266]","[-0.00692079830925885, 0.005812505883081803, -0.0010159816608637277, 0.010342416821949238, 0.004252051040965408]","[0.7005353569984436, 0.2994646728038788, 0.0, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20033583672579103, 0.20510823196755407, 0.20096900623229166, 0.1904535155131219, 0.20313340956124135]","[0.7005353569984436, 0.2994646728038788, 0.0, 0.0, 0.0]",-0.0037345857578143125
27,1.0429046818374321,"[106.8694769922393, 103.3492638642768, 110.12279854766005, 103.10446632994409, 109.36235229969266]","[108.90609386681567, 101.5834600591813, 108.76907991016989, 104.26181438610223, 108.67552246081448]","[0.019057049139711457, -0.017085789865077562, -0.012292809984340208, 0.01122500408910045, -0.006280313329362362]","[0.0, 0.5, 0.0, 0.0, 0.5]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.20798029407962856, 0.20203826422872403, 0.20105992399582256, 0.19793123419421418, 0.1909902835016107]","[0.0, 0.5, 0.0, 0.0, 0.5]",-0.012514864943475125
28,1.0339720109147148,"[108.90609386681567, 101.5834600591813, 108.76907991016989, 104.26181438610223, 108.67552246081448]","[108.75208280287943, 102.0614976985446, 107.80764448464383, 104.26311268432808, 107.74469657000873]","[-0.0014141638770423872, 0.004705860964814493, -0.008839234700891941, 1.2452288822060581e-05, -0.008565184410697275]","[0.0, 0.0, 0.0, 0.0, 1.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2041185298578898, 0.19701400937595354, 0.19657503019160877, 0.19543536364605962, 0.20685706692848832]","[0.0, 0.0, 0.0, 0.0, 1.0]",-0.00972575699616345
29,1.0444958567152176,"[108.75208280287943, 102.0614976985446, 107.80764448464383, 104.26311268432808, 107.74469657000873]","[106.82143466314768, 103.5799875440652, 105.30652709998532, 102.8069162529468, 107.9547055723128]","[-0.017752746338028078, 0.014878185013566178, -0.023199814786926117, -0.013966554363191911, 0.0019491354005310125]","[0.0, 0.8765662908554077, 0.12343371659517288, 0.0, 0.0]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.1999160953707035, 0.18978198097892462, 0.2053116501404585, 0.19613289035750606, 0.20885738315240723]","[0.0, 0.8765662908554077, 0.12343371659517288, 0.0, 0.0]",0.00912708454742097
30,1.0538237131343522,"[106.82143466314768, 103.5799875440652, 105.30652709998532, 102.8069162529468, 107.9547055723128]","[108.792077224972, 103.49433631148621, 106.43672450077749, 103.22822686478675, 107.36286476607064]","[0.01844800688212599, -0.000826909083596467, 0.010732453456746154, 0.004098076541886997, -0.005482306705433229]","[0.4300953149795532, 0.0, 0.0, 0.4300953149795532, 0.13980941474437714]","[0.2, 0.2, 0.2, 0.2, 0.2]","[0.2177803179138933, 0.19769724300726457, 0.20434318502923263, 0.18507931404069167, 0.19509994000891784]","[0.4300953149795532, 0.0, 0.0, 0.4300953149795532, 0.13980941474437714]",0.008042452512324634
